static, strong, nominative, nominal, safe, manifest;Java (programming language)
strong;CLU (programming language)
strong;ChucK
strong;Ease (programming language)
strong;GNU E
strong;Gödel (programming language)
strong;Limbo (programming language)
strong;Nickle (programming language)
strong;Processing (programming language)
strong;ProvideX
strong;Swift (parallel scripting language)
dynamic, strong, duck;Elixir (programming language)
static, strong, inferred, duck;Boo (programming language)
dynamic, nominative, duck, hybrid;Lasso (programming language)
hybrid, nominal;Haxe
none;A++
none;A-0 System
none;ABC ALGOL
none;ABSET
none;ABSYS
none;ACC (programming language)
none;AIMMS
none;ALGOL 58
none;ALGOL 60
none;ALGOL 68
none;ALGOL W
none;AMOS (programming language)
none;AMPL
none;APL (programming language)
none;APT (programming language)
none;ARexx
none;AS/400 Control Language
none;ATS (programming language)
none;A Sharp (.NET)
none;A Sharp (Axiom)
none;Accent (programming language)
none;Action! (programming language)
none;ActionScript
none;Active Server Pages
none;Actor (programming language)
none;Ada (programming language)
none;Adenine (programming language)
none;Agda (theorem prover)
none;Agilent VEE
none;Agora (programming language)
none;Aldor
none;Alef (programming language)
none;Algebraic Logic Functional programming language
none;Alice (programming language)
none;AmbientTalk
none;Amiga E
none;AngelScript
none;Apex (programming language)
none;App Inventor for Android (programming language)
none;Argus (programming language)
none;AspectJ
none;Assembly language
none;Ateji PX
none;AutoHotkey
none;AutoIt
none;AutoLISP
none;Autocoder
none;Autodesk 3ds Max
none;Averest
none;Axum (programming language)
none;BASIC
none;BCPL
none;BETA (programming language)
none;BLISS (programming language)
none;B (programming language)
none;Babbage (programming language)
none;Bash (Unix shell)
none;Batch file
none;Bc (programming language)
none;BeanShell
none;Bertrand (programming language)
none;Blockly
none;BlooP and FlooP
none;Boomerang (programming language)
none;Bourne shell
none;Business Basic
none;Business Process Execution Language
none;C*
none;C/AL
none;CDuce
none;CFEngine
none;CHIP-8
none;CLIPS (programming language)
none;CLIST
none;CMS-2 (programming language)
none;CMS EXEC
none;COBOL
none;COMAL
none;COMIT
none;COMPASS
none;COMTRAN
none;COWSEL
none;CPL (programming language)
none;CUDA
none;C (programming language)
none;C Sharp (programming language)
none;C Shell
none;Caché ObjectScript
none;Caml
none;Cayenne (programming language)
none;Cecil (programming language)
none;Cesil
none;Cg (programming language)
none;Ch (computer programming)
none;Chapel (programming language)
none;Charity (programming language)
none;Charm (language)
none;Cilk
none;Claire (programming language)
none;Clarion (programming language)
none;Clipper (programming language)
none;Clojure
none;CobolScript
none;Cobra (programming language)
none;CoffeeScript
none;ColdFusion
none;Combined Programming Language
none;Common Intermediate Language
none;Common Lisp
none;Communicating sequential processes
none;Component Pascal
none;Computer Sciences Corporation
none;Constraint Handling Rules
none;Coq
none;CorVision
none;Coral 66
none;Core War
none;Cryptol
none;Csound
none;Cuneiform (programming language)
none;Curl (programming language)
none;Cybil (programming language)
none;Cyclone (programming language)
none;Cython
none;Céu (programming language)
none;DATATRIEVE
none;DBase
none;DIGITAL Command Language
none;DYNAMO (programming language)
none;Darwin (programming language)
none;DataFlex
none;Data analysis expressions
none;Datalog
none;Datapoint's Advanced Systems Language
none;Dc (computer program)
none;Delphi (programming language)
none;Dink Smallwood
none;Distributed Application Specification Language
none;Dog (programming language)
none;Draco (programming language)
none;ECMAScript
none;EGL (programming language)
none;ELAN (programming language)
none;EXEC 2
none;Easy Programming Language
none;Easytrieve
none;Edinburgh IMP
none;Eiffel (programming language)
none;Elm (programming language)
none;Eltron Programming Language
none;Es (Unix shell)
none;Esoteric programming language
